Algae,Round ,Day ,Treatment,Replicate,Chl,OD750,OD750_filt,AlgaeConc,BacteriaConc,DOC,TDN,BulkLipids,ExtLipids,Salinity,FvFm,PC,PN,Vol,pH,PO4,NH4,Si,DIC,TOC_rate,POC_rate
C323,0,0,F,A,11.9,0.05,0.045,0.074,0.725,33.6,415.3,NA,NA,32,0.57,3.45,0.67,25.2,8.128,108,355.5,NA,3766,189.8,155.7
C323,0,0,F,B,8.79,0.0483,0.044,0.018,0.362,24.8,405.1,NA,NA,32,0.542,2.43,0.32,24.4,7.925,114.9,363.1,NA,3729,136.7,127.4
C323,0,0,F,C,8.3,0.0483,0.0473,0.008,0.43,22,409.9,NA,NA,32,0.538,2.52,0.35,23.4,7.855,111.9,356.7,NA,3812,137.2,116.1
C323,0,0,R,D,6.72,0.0467,0.0433,0.012,0.493,33.6,407.3,NA,NA,31,0.544,1.74,0.18,25.3,7.79,110.9,370.4,NA,3788,109.4,96
C323,0,0,R,E,6.75,0.0473,0.047,0.023,0.338,29.3,405.5,NA,NA,32,0.537,1.73,0.14,24,7.78,103,376.1,NA,3777,109.9,86.2
C323,0,0,R,F,7.24,0.0467,0.046,0.038,0.413,33.3,404.8,NA,NA,32,0.545,1.7,0.1,25,7.788,111.9,453.6,NA,3778,119.9,108.9
C323,0,1,F,A,14.1,0.0487,NA,0.088,1.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.287,NA,NA,NA,NA,NA,NA
C323,0,1,F,B,12.8,0.0487,NA,0.094,1.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.354,NA,NA,NA,NA,NA,NA
C323,0,1,F,C,15.1,0.0543,NA,0.118,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.328,NA,NA,NA,NA,NA,NA
C323,0,1,R,D,12.7,0.049,NA,0.099,1.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.309,NA,NA,NA,NA,NA,NA
C323,0,1,R,E,13.7,0.052,NA,0.107,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.319,NA,NA,NA,NA,NA,NA
C323,0,1,R,F,14.2,0.081,NA,0.117,1.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.351,NA,NA,NA,NA,NA,NA
C323,0,2,F,A,41.2,0.061,NA,0.265,2.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.469,NA,NA,NA,NA,NA,NA
C323,0,2,F,B,35,0.0593,NA,0.269,3.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.446,NA,NA,NA,NA,NA,NA
C323,0,2,F,C,33,0.0583,NA,0.29,2.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.444,NA,NA,NA,NA,NA,NA
C323,0,2,R,D,34.5,0.0627,NA,0.155,1.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.465,NA,NA,NA,NA,NA,NA
C323,0,2,R,E,37.1,0.061,NA,0.236,2.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.476,NA,NA,NA,NA,NA,NA
C323,0,2,R,F,38.8,0.0617,NA,0.266,1.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43,NA,NA,NA,NA,NA,NA
C323,0,3,F,A,101,0.0753,NA,NA,2.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52,NA,NA,NA,NA,NA,NA
C323,0,3,F,B,117,0.0813,NA,NA,3.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.653,NA,NA,NA,NA,NA,NA
C323,0,3,F,C,112,0.0817,NA,NA,3.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.609,NA,NA,NA,NA,NA,NA
C323,0,3,R,D,117,0.0857,NA,NA,3.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.607,NA,NA,NA,NA,NA,NA
C323,0,3,R,E,99.1,0.0813,NA,0.796,5.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.477,NA,NA,NA,NA,NA,NA
C323,0,3,R,F,106,0.0863,NA,NA,3.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.661,NA,NA,NA,NA,NA,NA
C323,0,4,F,A,210,0.1153,NA,NA,7.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.622,35.7,0.1,NA,NA,NA,NA
C323,0,4,F,B,230,0.118,NA,NA,8.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.662,28.1,0,NA,NA,NA,NA
C323,0,4,F,C,237,0.1373,NA,1.856,8.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.663,24.1,0,NA,NA,NA,NA
C323,0,4,R,D,178,0.1337,NA,1.127,7.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.795,28.1,0.1,NA,NA,NA,NA
C323,0,4,R,E,203,0.1387,NA,1.878,9.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.641,23.4,0,NA,NA,NA,NA
C323,0,4,R,F,159,0.1067,NA,NA,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.819,36.6,0.1,NA,NA,NA,NA
C323,0,5,F,A,243,0.177,0.0433,3.244,12.202,83.4,11.5,NA,NA,32,0.474,129.42,7.88,26.4,8.488,0.6,0.3,735.9,2648,3205.9,2331.6
C323,0,5,F,B,250,0.1723,0.044,2.329,10.839,72.3,9,NA,NA,32,0.449,120.9,7.43,24.4,8.821,0.2,0.9,789.6,2089,2402,2013.7
C323,0,5,F,C,251,0.1993,0.0433,4,11.05,64,8.8,NA,NA,32,0.469,149.66,8.86,27.6,8.747,0,0.6,625.6,2169,2998.9,2362
C323,0,5,R,D,243,0.2017,0.0437,3.326,13.619,60,10,NA,NA,32,0.455,135.5,7.25,24.3,8.622,0,0.3,603.3,2223,2927.5,2163.7
C323,0,5,R,E,220,0.206,0.0427,2.879,12.342,66.2,10,NA,NA,32,0.484,127.27,7.01,24.7,8.697,0.1,0.4,573.7,2030,3157.8,2503.2
C323,0,5,R,F,223,0.1817,0.0433,2.824,12.943,79.5,9.6,NA,NA,33,0.484,128.8,6.46,25,8.618,3.1,0.3,673.8,2221,2880,2118.9
C323,1,0,F,A,6.36,0.046,0.0443,0.057,0.573,37.2,411.6,297.3,29.3,34,0.576,4.45,0.02,25.1,7.818,108.5,380.1,1160.7,3685,13.7,12.6
C323,1,0,F,B,6.54,0.045,0.043,0.057,0.547,21.1,405,310,74,33,0.578,2.69,0.29,26,7.736,109.5,386.9,1109.1,3756,14.3,12.8
C323,1,0,F,C,6.72,0.0463,0.0437,0.058,0.533,28,410.3,344,24,33,0.586,2.13,0.27,25.5,7.758,104.6,373.5,1072.8,3848,10,8.3
C323,1,0,R,D,6.51,0.046,0.0473,0.062,0.553,93.4,418.5,323.7,38.3,32,0.568,2.33,0.17,27,8.333,106.6,368.5,738.1,5197,8,6.4
C323,1,0,R,E,6.85,0.045,0.043,0.064,0.542,75,414.6,389.3,34.7,32,0.561,2.05,0.14,25,8.38,104.6,369.4,807,5252,14.8,11.6
C323,1,0,R,F,6.78,0.047,0.0427,0.068,0.577,88,418.7,280.3,36.7,32,0.563,2.7,0.24,25.3,8.382,94.8,362,703.7,5642,14.5,13.4
C323,1,1,F,A,14.6,0.0583,NA,0.125,2.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.321,NA,NA,NA,NA,NA,NA
C323,1,1,F,B,15.5,0.049,NA,0.11,1.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.367,NA,NA,NA,NA,NA,NA
C323,1,1,F,C,16.4,0.05,NA,0.153,1.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.345,NA,NA,NA,NA,NA,NA
C323,1,1,R,D,13.5,0.0493,NA,0.164,1.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.556,NA,NA,NA,NA,NA,NA
C323,1,1,R,E,11.8,0.0497,NA,0.148,1.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.569,NA,NA,NA,NA,NA,NA
C323,1,1,R,F,13.5,0.0507,NA,0.163,2.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.598,NA,NA,NA,NA,NA,NA
C323,1,2,F,A,40.4,0.0663,0.0423,0.512,3.543,24.7,215.1,NA,NA,NA,0.606,19.45,3.63,24.6,8.373,NA,NA,NA,3053,1307,1230.1
C323,1,2,F,B,38.9,0.0633,0.0437,0.454,3.06,27.2,223.2,NA,NA,NA,0.578,19.18,3.61,25.4,8.414,NA,NA,NA,3064,1311.5,1246.7
C323,1,2,F,C,41.6,0.0647,0.0453,0.504,3,23.9,215.9,NA,NA,NA,0.575,19.69,4.1,25,8.437,NA,NA,NA,3136,1394.7,1250.8
