Algae,Round,Day,Date,Tstart,Tend,CultureVol,AirFlow,InocBefore,InocAfter,Chl_medium,OD750_medium
C323,0,0,10/22/17,9:39,11:45,1091,1.00,117.0,68.6,0.293,0.0440
C323,0,1,10/23/17,9:24,10:20,1076,0.50,85.2,53.1,0.29,0.0433
C323,0,2,10/24/17,9:27,10:25,1061,0.50,96.4,59.3,0.275,0.0440
C323,0,3,10/25/17,9:15,10:20,1047,0.50,89.4,52.5,0.281,0.0440
C323,0,4,10/26/17,9:33,10:50,1033,0.50,81.8,48.4,0.272,0.0437
C323,0,5,10/27/17,9:52,11:58,996,0.50,77.1,54.7,0.273,0.0443
C323,1,0,10/28/17,9:57,12:00,955,0.50,90.4,57.1,0.297,0.0430
C323,1,1,10/29/17,9:45,10:35,941,0.50,98.2,65.7,0.294,0.0430
C323,1,2,10/30/17,9:20,11:17,904,0.50,103.0,63.2,0.308,0.0440
C323,1,3,10/31/17,9:32,10:23,890,0.50,94.0,63.3,0.313,0.0450
C323,1,4,11/1/17,9:58,12:20,853,0.50,64.7,36.5,0.326,0.0450
C323,1,5,11/2/17,9:48,12:13,815,0.50,87.3,46.2,0.307,0.0420
C323,2,0,11/3/17,9:57,12:20,792,0.40,84.2,51.0,0.283,0.0440
C323,2,1,11/4/17,9:48,10:43,778,0.40,91.6,65.2,0.294,0.0427
C323,2,2,11/5/17,10:31,12:41,741,0.40,78.8,49.2,0.294,0.0430
C323,2,3,11/6/17,10:35,11:27,727,0.40,81.7,55.9,0.262,0.0437
C323,2,4,11/7/17,10:52,12:55,690,0.40,95.4,69.9,0.282,0.0427
C323,2,5,11/8/17,10:31,13:00,652,0.40,79.7,66.9,0.281,0.0427
C323,3,0,11/9/17,10:46,13:13,592,0.25,96.3,66.6,0.258,0.0425
C323,3,1,11/10/17,10:15,11:09,578,0.25,97.6,56.6,0.263,0.0437
C323,3,2,11/11/17,10:53,12:48,541,0.25,91.4,62.1,0.282,0.0430
C323,3,3,11/12/17,11:28,12:14,527,0.25,93.1,56.8,0.274,0.0447
C323,3,4,11/13/17,10:38,12:45,490,0.25,82.7,56.1,0.267,0.0430
