Algae,Date,ElapsedDays,Treatment,Replicate,BacteriaConc,DOC,TDN
C323,11/15/17,1,F,A,0.166,121.9,476.3
C323,11/15/17,1,F,B,0.055,80.9,453.6
C323,11/15/17,1,F,C,0.059,91.3,443.9
C323,11/15/17,1,R,D,0.099,143.1,430.3
C323,11/15/17,1,R,E,0.083,122,444.7
C323,11/15/17,1,R,F,0.116,123.9,432.7
C323,12/22/17,38,F,A,2.006,67.2,401.1
C323,12/22/17,38,F,B,2.057,74.1,419.7
C323,12/22/17,38,F,C,1.542,67.4,437.6
C323,12/22/17,38,R,D,1.087,140.5,404.2
C323,12/22/17,38,R,E,0.61,136.2,427.3
C323,12/22/17,38,R,F,0.73,127.6,414.5
C323,1/29/18,76,F,A,2.028,63.4,429
C323,1/29/18,76,F,B,1.721,66.7,435.4
C323,1/29/18,76,F,C,1.215,62.8,438.1
C323,1/29/18,76,R,D,0.807,130.3,387.9
C323,1/29/18,76,R,E,0.522,116.4,412.8
C323,1/29/18,76,R,F,0.405,112.5,407.5
C323,4/23/18,159,F,A,2.284,60.4,450.6
C323,4/23/18,159,F,B,1.629,68.1,451.2
C323,4/23/18,159,F,C,1.237,68.7,472.9
C323,4/23/18,159,R,D,0.659,141.6,386.2
C323,4/23/18,159,R,E,0.408,129,419.8
C323,4/23/18,159,R,F,0.322,124.4,402.8
C323,6/26/18,224,F,A,11.21,58.2,394.3
C323,6/26/18,224,F,B,5.249,78.3,389
C323,6/26/18,224,F,C,4.565,65.6,385.6
C323,6/26/18,224,R,D,4.213,119.8,321.4
C323,6/26/18,224,R,E,1.827,107.4,347.6
C323,6/26/18,224,R,F,1.624,109.6,326.4
D046,8/14/17,0,F,A,5.072,NA,NA
D046,8/14/17,0,F,B,5.659,NA,NA
D046,8/14/17,0,F,C,5.131,NA,NA
D046,8/14/17,0,R,D,5.146,NA,NA
D046,8/14/17,0,R,E,4.026,NA,NA
D046,8/14/17,0,R,F,4.592,NA,NA
D046,8/15/17,1,F,A,5.108,215.3,445.3
D046,8/15/17,1,F,B,5.202,181.9,438.7
D046,8/15/17,1,F,C,4.886,167,439.3
D046,8/15/17,1,R,D,4.64,599.8,495.9
D046,8/15/17,1,R,E,3.473,605.8,505.1
D046,8/15/17,1,R,F,3.986,567.2,496.6
D046,8/25/17,11,F,A,4.295,214.4,449.1
D046,8/25/17,11,F,B,3.158,174.7,432.7
D046,8/25/17,11,F,C,1.282,178.4,428.6
D046,8/25/17,11,R,D,6.587,684.1,511.6
D046,8/25/17,11,R,E,6.916,708.4,517.6
D046,8/25/17,11,R,F,6.18,646.4,507.4
D046,9/7/17,24,F,A,1.435,229.9,453.3
D046,9/7/17,24,F,B,2.423,186.3,443.2
D046,9/7/17,24,F,C,3.04,190.1,444.8
D046,9/7/17,24,R,D,2.934,687.9,510.6
D046,9/7/17,24,R,E,2.281,707.2,520.6
D046,9/7/17,24,R,F,2.266,636,511.2
D046,10/9/17,56,F,A,1.191,235.9,447.2
D046,10/9/17,56,F,B,2.392,198.8,441.8
D046,10/9/17,56,F,C,2.853,199.9,443.8
D046,10/9/17,56,R,D,2.232,695.9,488.5
D046,10/9/17,56,R,E,0.75,704.7,504.5
D046,10/9/17,56,R,F,1.788,631.2,500.1
D046,1/12/18,151,F,A,1.026,254.6,413.6
D046,1/12/18,151,F,B,2.405,209.6,431.6
D046,1/12/18,151,F,C,2.689,219.2,418
D046,1/12/18,151,R,D,1.679,750.6,392.2
D046,1/12/18,151,R,E,1.751,753.1,411.1
D046,1/12/18,151,R,F,2.145,677.9,422.7
D046,4/20/18,249,F,A,0.799,315.5,405.6
D046,4/20/18,249,F,B,1.131,304.7,354.2
D046,4/20/18,249,F,C,1.143,278,420.3
D046,4/20/18,249,R,D,2.22,883,287.9
D046,4/20/18,249,R,E,2.112,903.7,273.6
D046,4/20/18,249,R,F,1.397,752.4,322.5
Navicula,9/27/17,0,F,A,0.037,NA,NA
Navicula,9/27/17,0,F,B,0.032,NA,NA
Navicula,9/27/17,0,F,C,0.028,NA,NA
